VehicleID,PlateNumber,BranchID,ClassID
1,横浜わ8100,1,1
2,川崎れ6263,2,1
3,相模原わ2748,3,1
4,相模原れ8317,3,1
5,横浜わ4993,1,1
6,相模原れ1404,3,1
7,川崎わ2267,2,1
8,相模原れ7519,3,1
9,川崎わ7829,2,1
10,横浜れ5158,1,1
11,横浜わ1234,1,2
12,川崎れ5678,2,2
13,相模原わ4321,3,2
14,横浜れ8765,1,2
15,相模原わ1357,3,2
16,川崎れ2468,2,2
17,相模原わ9876,3,2
18,川崎れ5432,2,2
19,横浜わ6789,1,2
20,相模原れ3456,3,2
21,横浜わ1111,1,3
22,川崎れ2222,2,3
23,相模原わ3333,3,3
24,横浜れ4444,1,3
25,相模原わ5555,3,3
26,川崎れ6666,2,3
27,相模原わ7777,3,3
28,川崎れ8888,2,3
29,横浜わ9999,1,3
30,相模原れ1212,3,3
31,横浜わ1313,1,4
32,川崎れ1414,2,4
33,相模原わ1515,3,4
34,横浜れ1616,1,4
35,相模原わ1717,3,4
36,川崎れ1818,2,4
37,相模原わ1919,3,4
38,川崎れ2020,2,4
39,横浜わ2121,1,4
40,相模原れ2323,3,4
41,横浜わ2424,1,1
42,川崎れ2525,2,1
43,相模原わ2626,3,1
44,横浜れ2727,1,1
45,相模原わ2828,3,1
46,川崎れ2929,2,1
47,相模原わ3030,3,1
48,川崎れ3131,2,1
49,横浜わ3232,1,1
50,相模原れ3333,3,1
51,横浜わ3434,1,4
52,川崎れ3535,2,4
53,相模原わ3636,3,4
54,横浜れ3737,1,4
55,相模原わ3838,3,4
56,川崎れ3939,2,4
57,相模原わ4040,3,4
58,川崎れ4141,2,4
59,相模原わ4242,3,4
60,横浜れ4343,1,4
